Power,Velocity Ratio,N1,N2,z1,z2,S_d1,S_d2,material,d1,d2,b,BHN1,BHN2,weight
20,nan,1000,310,31,100,206.81,137.34,Steel-steel,124.0,400.0,40.0,450,450,5.5096
25,nan,900,150,16,96,103.0,55.0,Steel-CI,128.0,768.0,80.0,250,180,38.0892
20,nan,1000,310,31,100,206.81,137.34,Steel-steel,124.0,400.0,40.0,450,450,5.5096
20,nan,1200,400,16,48,233.4,233.4,Steel-steel,80.0,240.0,50.0,500,500,2.5133
55,nan,800,250,20,64,193.2,193.2,Steel-steel,160.0,512.0,80.0,400,350,18.0795
20,nan,300,100,15,45,120.0,100.0,steel-steel,120.0,360.0,80.0,400,350,9.0478
12,nan,1170,300,20,78,220.0,78.5,Steel-CI,100.0,390.0,50.0,250,180,6.3657
