Power,Velocity Ratio,N1,N2,d1,d2,S_d1,S_d2,material,z1,z2,b,BHN1,BHN2,weight
20.0,3.0,1200,nan,200.0,600.0,220.6,220.0,Steel-steel,50,150,40.0,350,300,12.5664
25.0,2.5,1000,nan,171.43,428.57,200.0,180.0,Steel-steel,42,107,40.0,450,350,6.6935
25.0,nan,1200,300.0,64.0,256.0,516.8,516.8,Steel-steel,16,64,40.0,600,600,2.1876
20.0,3.0,300,nan,120.0,360.0,120.0,100.0,Steel-CI,15,45,80.0,250,180,9.0478
20.0,nan,1000,310.0,155.0,500.0,206.81,137.34,Steel-steel,38,125,40.0,450,350,8.6087
25.0,6.0,900,nan,128.0,768.0,103.0,55.0,CI-CI,16,96,80.0,300,225,38.0892
20.0,3.0,1200,nan,80.0,240.0,233.4,233.4,Steel-steel,16,48,50.0,500,500,2.5133
55.0,3.2,800,nan,160.0,512.0,233.4,233.4,Steel-steel,20,64,80.0,400,350,18.0795
12.0,3.9,1170,nan,100.0,390.0,220.0,78.5,Steel-CI,20,78,50.0,250,180,6.3657
